column,missing_n,missing_pct,dtype
analysis_id,0,0.0,object
Wiek,0,0.0,int64
group,0,0.0,object
subject_id,0,0.0,object
17 - OH progesteron (L79) (17-OHPG),321,0.24961119751166408,float64
17 OH progesteron (L79),1074,0.8351477449455676,float64
ALAT (ALT),1023,0.7954898911353032,float64
AMH (hormon anty-Mullerowski) (AMH_CP),310,0.2410575427682737,float64
AMH ng/ml,1286,1.0,float64
AMH-anty Mullerian Hormon (AMH),1139,0.885692068429238,float64
APTT Czas kaolinowo-kefalinowy (APTTCZ),1281,0.9961119751166407,float64
ASO - ilościowo (ASOIL),1285,0.9992223950233281,float64
ASPAT (AST),1023,0.7954898911353032,float64
Androstendion (ANDRO),604,0.46967340590979784,float64
Androstendion (I31),1097,0.8530326594090202,float64
Androstendion (I31) (ANDRO),1031,0.8017107309486781,float64
Anty - HCV (L_ANTHCV),1285,0.9992223950233281,object
Anty-TG (O18),1265,0.9836702954898912,float64
Anty-TG (p/c przeciw tyreoglobulinie) (ATG),1032,0.80248833592535,float64
Anty-TPO (ATA_TPO),243,0.18895800933125972,float64
BMI kg/m2,1286,1.0,float64
Białko C-reaktywne (CRP),1267,0.9852255054432348,float64
Bilirubina całkowita (TBIL),1210,0.9409020217729394,float64
CEA (CEA),1285,0.9992223950233281,float64
Ca125 (CA125),1245,0.9681181959564541,float64
Ca19.9 (CA199),1285,0.9992223950233281,float64
Cholesterol całkowity (TCHOL),117,0.09097978227060653,float64
D-dimery (DDIMER),1284,0.9984447900466563,float64
DHEAS (DHEA),115,0.08942457231726283,float64
DHEAS ug/dl,1286,1.0,float64
Dobowy rytm tolerancji glukozy (L_G1030),1279,0.994556765163297,float64
Dobowy rytm tolerancji glukozy (L_G1200),1279,0.994556765163297,float64
Dobowy rytm tolerancji glukozy (L_G1500),1279,0.994556765163297,float64
Dobowy rytm tolerancji glukozy (L_G1800),1279,0.994556765163297,float64
Dobowy rytm tolerancji glukozy (L_G2100),1279,0.994556765163297,float64
Dobowy rytm tolerancji glukozy (L_G2400),1279,0.994556765163297,float64
Dobowy rytm tolerancji glukozy (L_G330),1279,0.994556765163297,float64
Dobowy rytm tolerancji glukozy (L_G700),1279,0.994556765163297,float64
Dokument (NAZWA),1268,0.9860031104199067,float64
Estradiol (ESTRA),1229,0.9556765163297045,float64
Estradiol (L_ESTRA),1252,0.973561430793157,float64
FSH (FSH),118,0.09175738724727839,float64
FSH 0' 30' 60' (L_FSH0),1271,0.9883359253499222,float64
FSH 0' 30' 60' (L_FSH30),1271,0.9883359253499222,float64
FSH 0' 30' 60' (L_FSH60),1271,0.9883359253499222,float64
FSH IU/l,1286,1.0,float64
