column,non_missing,missing_pct,variance,drop_all_missing,drop_high_missing
Wiek,1286,0.0,3.785028229783783,False,False
group,0,1.0,,True,True
subject_id,1286,0.0,167933206.55241844,False,False
17 - OH progesteron (L79) (17-OHPG),965,0.24961119751166408,0.6850714502113507,False,False
17 OH progesteron (L79),212,0.8351477449455676,1.0687274253548291,False,True
ALAT (ALT),263,0.7954898911353032,169.5077091254753,False,True
AMH (hormon anty-Mullerowski) (AMH_CP),976,0.2410575427682737,13.286965087825768,False,False
AMH ng/ml,0,1.0,,True,True
AMH-anty Mullerian Hormon (AMH),147,0.885692068429238,15.016343537414965,False,True
APTT Czas kaolinowo-kefalinowy (APTTCZ),5,0.9961119751166407,10.908,False,True
ASO - ilościowo (ASOIL),1,0.9992223950233281,,False,True
ASPAT (AST),263,0.7954898911353032,60.265726569529505,False,True
Androstendion (ANDRO),682,0.46967340590979784,0.5086859961523722,False,True
Androstendion (I31),189,0.8530326594090202,2.6502549532815487,False,True
Androstendion (I31) (ANDRO),255,0.8017107309486781,1.3293450424579283,False,True
Anty - HCV (L_ANTHCV),0,1.0,,True,True
Anty-TG (O18),21,0.9836702954898912,28747.97432619047,False,True
Anty-TG (p/c przeciw tyreoglobulinie) (ATG),254,0.80248833592535,6121.131033974978,False,True
Anty-TPO (ATA_TPO),1043,0.18895800933125972,3147.903626031509,False,False
BMI kg/m2,0,1.0,,True,True
Białko C-reaktywne (CRP),19,0.9852255054432348,169.53596491228072,False,True
Bilirubina całkowita (TBIL),76,0.9409020217729394,0.09924187719298246,False,True
CEA (CEA),1,0.9992223950233281,,False,True
Ca125 (CA125),41,0.9681181959564541,109.56475402439023,False,True
Ca19.9 (CA199),1,0.9992223950233281,,False,True
Cholesterol całkowity (TCHOL),1169,0.09097978227060653,923.9136755012479,False,False
D-dimery (DDIMER),2,0.9984447900466563,32.0,False,True
DHEAS (DHEA),1171,0.08942457231726283,17572.56892170838,False,False
DHEAS ug/dl,0,1.0,,True,True
Dobowy rytm tolerancji glukozy (L_G1030),7,0.994556765163297,454.61904761904765,False,True
Dobowy rytm tolerancji glukozy (L_G1200),7,0.994556765163297,261.80952380952385,False,True
Dobowy rytm tolerancji glukozy (L_G1500),7,0.994556765163297,292.4761904761905,False,True
Dobowy rytm tolerancji glukozy (L_G1800),7,0.994556765163297,514.6190476190476,False,True
Dobowy rytm tolerancji glukozy (L_G2100),7,0.994556765163297,87.61904761904763,False,True
Dobowy rytm tolerancji glukozy (L_G2400),7,0.994556765163297,341.9047619047619,False,True
Dobowy rytm tolerancji glukozy (L_G330),7,0.994556765163297,73.66666666666667,False,True
Dobowy rytm tolerancji glukozy (L_G700),7,0.994556765163297,53.0,False,True
Dokument (NAZWA),18,0.9860031104199067,149603401110896.34,False,True
Estradiol (ESTRA),57,0.9556765163297045,424.3968233082706,False,True
Estradiol (L_ESTRA),34,0.973561430793157,536.4649643493761,False,True
FSH (FSH),1168,0.09175738724727839,8.555765468018189,False,False
FSH 0' 30' 60' (L_FSH0),15,0.9883359253499222,3.110755238095238,False,True
FSH 0' 30' 60' (L_FSH30),15,0.9883359253499222,9.018038095238095,False,True
FSH 0' 30' 60' (L_FSH60),15,0.9883359253499222,12.935752380952382,False,True
FSH IU/l,0,1.0,,True,True
FT3 (FT3),6,0.995334370139969,4.571586666666665,False,True
FT4 (FT4),1167,0.09253499222395023,0.02788883378823889,False,False
Ferrytyna (FERR),2,0.9984447900466563,1260.02,False,True
Ferrytyna (L05),1,0.9992223950233281,,False,True
Fibrynogen (L_FIB),3,0.9976671850699844,2044.0,False,True
Fosforany nieorganiczne (FOSFOR),2,0.9984447900466563,0.008449999999999985,False,True
GH (hormon wzrostu) (L_GH),1,0.9992223950233281,,False,True
Gamma Glutamylotranspeptydaza (GGTP),77,0.9401244167962675,80.95370379357485,False,True
Glukoza (L_GLU),2,0.9984447900466563,163.8049999999999,False,True
"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (COV2_G)",0,1.0,,True,True
"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYA)",0,1.0,,True,True
"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYB)",0,1.0,,True,True
"Grypa A, B, RSV, SARS-CoV2 antygen - badanie jakościowe (GRYRSV)",0,1.0,,True,True
HBSAG (L_HBSAG),0,1.0,,True,True
HBsAg (L_HBSAG),0,1.0,,True,True
HDL cholesterol (HDL),1169,0.09097978227060653,195.96271735882442,False,False
HbsAg (HBSAG),0,1.0,,True,True
Hemoglobina glikowana (HBA1C_1),23,0.9821150855365475,0.8512521739130432,False,True
Hemoglobina glikowana (HBA1C_2),23,0.9821150855365475,101.55529644268776,False,True
Hemoglobina glikowana (L53.IFC),4,0.9968895800933126,179.0,False,True
Hemoglobina glikowana (L55),4,0.9968895800933126,1.4158333333333328,False,True
IGF-1 (insulinopodobny czynnik wzrostu 1) (IGF1_L),1,0.9992223950233281,,False,True
Insulina (INSUL),744,0.4214618973561431,34.47481740093924,False,False
Insulina po 75g glukozy (3pkt.) (INSUL_0),222,0.8273716951788491,87.61402745913335,False,True
Insulina po 75g glukozy (3pkt.) (INSUL_1),221,0.828149300155521,2866.994960983134,False,True
Insulina po 75g glukozy (3pkt.) (INSUL_2),221,0.828149300155521,3224.64422315508,False,True
