component,explained_variance,cumulative_variance
1,0.15072962211624039,0.15072962211624039
2,0.08726864689063948,0.23799826900687987
3,0.08350495959060796,0.3215032285974878
4,0.06123323016713086,0.38273645876461865
5,0.059114214333210104,0.44185067309782877
6,0.05149742177206753,0.4933480948698963
7,0.04693038181129695,0.5402784766811932
8,0.043461934718762946,0.5837404113999561
9,0.04214937977474274,0.6258897911746989
10,0.039676940149146356,0.6655667313238453
11,0.037515060207157704,0.7030817915310029
12,0.0352846653479463,0.7383664568789492
13,0.032654002457883316,0.7710204593368325
14,0.03153577319991584,0.8025562325367483
15,0.02949709463167664,0.832053327168425
16,0.02581573259786242,0.8578690597662874
17,0.02457018874050993,0.8824392485067973
18,0.023007184067650087,0.9054464325744475
19,0.02036012687422985,0.9258065594486773
20,0.017329295725589753,0.943135855174267
21,0.016346667543976935,0.959482522718244
22,0.015892958327840552,0.9753754810460845
23,0.014664558865190561,0.9900400399112751
24,0.007860809013384703,0.9979008489246598
25,0.001943816994296735,0.9998446659189565
26,0.00015533408104347608,1.0
