imputation,scaling,reduction,clustering,seed,k
mice,quantile,pca70,hierarchical,0,2
missforest_like,robust,none,kmeans,1,2
knn,zscore,ica,gmm,3,2
median,quantile,pca90,consensus,2,2
complete_case,robust,pca80,hierarchical,4,2
missforest_like,zscore,pca70,consensus,4,2
median,zscore,pca80,kmeans,0,2
complete_case,robust,none,gmm,3,2
mice,quantile,ica,consensus,1,2
knn,zscore,pca90,hierarchical,2,2
mice,quantile,pca90,gmm,4,2
median,robust,ica,kmeans,3,2
missforest_like,quantile,none,gmm,2,2
knn,robust,pca80,consensus,1,2
complete_case,robust,pca70,kmeans,0,2
missforest_like,zscore,ica,hierarchical,1,2
mice,zscore,pca70,kmeans,3,2
median,quantile,none,hierarchical,4,2
complete_case,zscore,pca80,gmm,2,2
knn,robust,pca90,gmm,0,2
missforest_like,quantile,pca80,consensus,0,2
complete_case,quantile,ica,hierarchical,2,2
median,zscore,none,consensus,3,2
knn,quantile,pca90,kmeans,1,2
mice,robust,none,consensus,4,2
missforest_like,robust,pca70,hierarchical,2,2
median,zscore,pca90,gmm,1,2
complete_case,zscore,ica,kmeans,4,2
knn,quantile,pca70,consensus,3,2
mice,robust,pca80,kmeans,2,2
median,quantile,ica,gmm,0,2
mice,robust,pca90,hierarchical,1,2
complete_case,zscore,none,hierarchical,0,2
median,robust,pca70,gmm,4,2
complete_case,quantile,pca80,kmeans,3,2
missforest_like,robust,pca90,consensus,3,2
mice,zscore,pca90,consensus,0,2
complete_case,quantile,pca70,gmm,1,2
knn,zscore,none,kmeans,4,2
missforest_like,quantile,pca80,hierarchical,2,2
knn,zscore,ica,hierarchical,0,2
median,robust,pca80,kmeans,1,2
mice,quantile,ica,gmm,2,2
knn,robust,pca70,consensus,4,2
missforest_like,zscore,none,gmm,3,2
knn,quantile,pca80,hierarchical,0,2
median,zscore,none,kmeans,2,2
missforest_like,robust,pca70,consensus,1,2
mice,robust,pca90,gmm,3,2
complete_case,quantile,ica,consensus,4,2
median,zscore,pca90,kmeans,3,2
mice,zscore,ica,hierarchical,2,2
knn,quantile,pca80,kmeans,4,2
missforest_like,robust,none,gmm,0,2
complete_case,zscore,pca70,consensus,1,2
complete_case,quantile,pca90,hierarchical,1,2
median,robust,none,hierarchical,2,2
knn,robust,pca80,gmm,4,2
missforest_like,quantile,pca70,kmeans,0,2
mice,zscore,ica,consensus,3,2
missforest_like,robust,pca80,kmeans,0,2
knn,quantile,pca90,gmm,2,2
mice,zscore,none,hierarchical,1,2
median,zscore,ica,consensus,4,2
complete_case,quantile,pca70,hierarchical,3,2
complete_case,robust,ica,gmm,2,2
knn,robust,none,kmeans,3,2
median,quantile,pca70,consensus,4,2
mice,zscore,pca80,hierarchical,0,2
missforest_like,robust,pca90,gmm,1,2
mice,quantile,pca80,consensus,2,2
missforest_like,zscore,pca90,kmeans,0,2
knn,zscore,pca70,gmm,1,2
median,robust,none,kmeans,4,2
complete_case,robust,ica,consensus,3,2
mice,quantile,pca90,hierarchical,3,2
knn,zscore,pca80,hierarchical,4,2
complete_case,quantile,pca70,kmeans,2,2
median,robust,ica,consensus,0,2
missforest_like,quantile,none,consensus,1,2
median,zscore,pca70,gmm,3,2
mice,zscore,none,gmm,2,2
complete_case,robust,pca90,hierarchical,0,2
missforest_like,quantile,ica,kmeans,4,2
knn,zscore,pca80,kmeans,1,2
missforest_like,quantile,pca90,hierarchical,0,2
complete_case,robust,pca80,gmm,1,2
mice,robust,ica,consensus,2,2
median,quantile,none,gmm,3,2
knn,quantile,pca70,hierarchical,4,2
knn,zscore,pca90,consensus,4,2
mice,zscore,ica,kmeans,0,2
complete_case,robust,none,hierarchical,1,2
median,robust,pca80,gmm,3,2
missforest_like,zscore,pca70,kmeans,2,2
median,quantile,none,consensus,0,2
mice,zscore,pca90,kmeans,1,2
knn,quantile,ica,hierarchical,3,2
missforest_like,robust,pca80,gmm,2,2
complete_case,zscore,pca70,gmm,4,2
complete_case,robust,pca80,consensus,0,2
mice,quantile,none,kmeans,4,2
knn,robust,pca70,hierarchical,3,2
missforest_like,zscore,ica,consensus,2,2
median,robust,pca90,consensus,1,2
knn,quantile,pca80,gmm,1,2
median,quantile,pca70,hierarchical,2,2
missforest_like,zscore,ica,kmeans,3,2
complete_case,quantile,none,kmeans,0,2
mice,zscore,pca90,hierarchical,4,2
complete_case,robust,pca70,consensus,2,2
mice,robust,pca80,gmm,0,2
missforest_like,quantile,pca90,kmeans,3,2
knn,zscore,none,consensus,1,2
median,robust,ica,hierarchical,4,2
missforest_like,quantile,ica,gmm,3,2
knn,zscore,pca80,consensus,0,2
complete_case,robust,pca90,gmm,4,2
median,quantile,pca70,kmeans,1,2
mice,quantile,none,hierarchical,2,2
