analysis_id,coassignment_robustness_score,coassignment_robustness_ci_low,coassignment_robustness_ci_high,coassignment_entropy,coassignment_certainty,n_valid_pipeline_assignments,n_valid_pipelines_total,assignment_coverage,n_consensus_neighbors,mean_posterior_uncertainty,median_posterior_uncertainty,n_probabilistic_runs,robustness_quartile
003c91fead41,0.6638167379372166,0.6116513291073826,0.7113624269372029,0.8341599672227814,0.1658400327772186,116,116,1.0,938,0.20373396340285732,0.1303725654977576,60,Q2
008bae3e7743,0.7903717803162545,0.7640282824156531,0.8157720671815052,0.5649444861171451,0.4350555138828549,92,116,0.7931034482758621,946,0.17072135384076992,0.12602570154423964,48,Q4_high
0096be25b40a,0.6266025906213565,0.5479091583094453,0.6959815814527178,0.8407572831809079,0.15924271681909208,92,116,0.7931034482758621,873,0.17067419068251163,0.12602570154423964,48,Q2
00af3ae6283b,0.7666355730845953,0.7370898589495111,0.7943077211173277,0.6229782899329133,0.37702171006708673,116,116,1.0,945,0.18370871468046127,0.12602570154423964,60,Q4_high
0103fe0f628f,0.7801110797252239,0.7589205382648443,0.7999268584563536,0.5727265380730729,0.42727346192692706,116,116,1.0,951,0.17355391409365992,0.10689371854534145,60,Q4_high
0115f8a3d576,0.5623754172917456,0.5159502970095096,0.603910614497391,0.8575201371218952,0.14247986287810477,116,116,1.0,452,0.2063765741079631,0.1303725654977576,60,Q1_low
01342793a57c,0.7534820703596345,0.7140181530226561,0.7894624540956277,0.6771280481589216,0.3228719518410784,116,116,1.0,921,0.20862406332019076,0.1303725654977576,60,Q3
015e855f7412,0.5629420728580098,0.5171117552769364,0.6039623173707267,0.8413799248409687,0.15862007515903132,116,116,1.0,478,0.17911724041249932,0.125,60,Q1_low
016a4a0f0d92,0.5274256304876598,0.5051342333527594,0.5516846113558455,0.8726485158423776,0.12735148415762243,116,116,1.0,606,0.195450418941697,0.12804926974154765,60,Q1_low
01e134d0b885,0.7555004610380641,0.7087375798126138,0.7946500835859399,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
01e2024418af,0.7451816115986624,0.7027328077775358,0.7834897467499724,0.6929776181611951,0.3070223818388049,116,116,1.0,916,0.22026084629958634,0.1360776392555722,60,Q3
0215514bda3e,0.6406366093441788,0.5756152102688255,0.6960322802557122,0.8506731041013204,0.14932689589867965,116,116,1.0,885,0.19570030463189692,0.1298869935936654,60,Q2
021b26c5c033,0.5112308577559078,0.4779478254495588,0.5507082595393793,0.9041495147561149,0.09585048524388506,116,116,1.0,533,0.20576737051356822,0.12926277969986766,60,Q1_low
02575ba6c980,0.7182391937940058,0.6787136511256484,0.7534446976042445,0.7386041496336436,0.2613958503663564,116,116,1.0,995,0.21376694977924257,0.1303725654977576,60,Q2
0297326556d0,0.7801110797252239,0.7594002742562327,0.802323034796287,0.5727265380730729,0.42727346192692706,116,116,1.0,951,0.17118345930585513,0.07288143511550525,60,Q4_high
02dfbb012d54,0.7507092925762703,0.7186779772494182,0.7776522378242448,0.6584718153496614,0.34152818465033863,116,116,1.0,976,0.1723396344803133,0.0910795037765448,60,Q3
02ed7a716999,0.5117329975989389,0.4795477278390856,0.5498951298591324,0.9681991721222992,0.03180082787770078,92,116,0.7931034482758621,1026,0.1765982590160526,0.12804926974154765,48,Q1_low
02fb600d1d3b,0.7745937488026691,0.748858029885943,0.7996761208641425,0.5978971133684191,0.4021028866315809,116,116,1.0,945,0.18953241411080082,0.125,60,Q4_high
030a8d528d8b,0.772556668118121,0.7468715432134349,0.7984843869852681,0.6039438597187862,0.39605614028121383,116,116,1.0,945,0.196623206270186,0.12926277969986766,60,Q4_high
037e4717b544,0.6627847622613289,0.6032624701370621,0.7173468211490007,0.831952588749311,0.168047411250689,116,116,1.0,926,0.23835137512931287,0.137791541205188,60,Q2
043fe1cc9b15,0.6087206053854565,0.553869001745671,0.6696226625717513,0.8627565051230921,0.1372434948769079,116,116,1.0,876,0.20115536542621418,0.12926277969986766,60,Q2
046566dbb3d6,0.5444284730776403,0.5044447179550428,0.5827380990963095,0.8686934302212443,0.13130656977875566,116,116,1.0,509,0.19087178135066943,0.12602570154423964,60,Q1_low
0471855ad71c,0.7803675411464627,0.7481826767225621,0.8072825209973934,0.5977212669461693,0.40227873305383066,92,116,0.7931034482758621,941,0.16875642389052584,0.12602570154423964,48,Q4_high
0482496b2f92,0.7801110797252239,0.7588689758636651,0.8036844527183982,0.5727265380730729,0.42727346192692706,116,116,1.0,951,0.17734031598761957,0.125,60,Q4_high
04c86e861dc1,0.7684170101954824,0.7385558103873568,0.7965164785478236,0.6101186113436896,0.3898813886563104,116,116,1.0,942,0.1960850954793403,0.12926277969986766,60,Q4_high
04e55973c1c7,0.6550753106571413,0.6089630128770612,0.7094252635368757,0.8281701086794258,0.17182989132057425,116,116,1.0,907,0.18205035779017742,0.12602570154423964,60,Q2
050c978f7aa5,0.7555004610380641,0.702287937226658,0.795868121862794,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
052c072e5473,0.7689829293663026,0.7428590553206144,0.7936715704514157,0.6132854795799613,0.38671452042003873,116,116,1.0,950,0.1871975486343379,0.12602570154423964,60,Q4_high
055cef6b7562,0.7425239118337035,0.7032256327162076,0.7813640680732944,0.7019394008662914,0.29806059913370864,116,116,1.0,926,0.21054817808472182,0.1298869935936654,60,Q3
05767ae2aeae,0.7364960972611032,0.6970013239396451,0.7757476931022533,0.7155905312651593,0.28440946873484074,116,116,1.0,927,0.22409166022402568,0.13075619276219785,60,Q3
061092498bb6,0.7877750936226404,0.7582535328840574,0.8131036975607191,0.5760655253715072,0.42393447462849276,92,116,0.7931034482758621,940,0.1689661584523238,0.12602570154423964,48,Q4_high
0635a5b43e92,0.7390483800258835,0.702642114763197,0.7765403224813668,0.707718320532098,0.29228167946790196,116,116,1.0,928,0.23229110298310676,0.13757956067505395,60,Q3
066a09c56ae6,0.5381825921226853,0.4902600367038181,0.5891447795085499,0.7546205548549965,0.24537944514500354,116,116,1.0,407,0.17025895014267664,0.0702792120597011,60,Q1_low
0682c2fb3f25,0.5581543452269093,0.515588033601138,0.5990385958647283,0.8456752977558006,0.15432470224419936,116,116,1.0,488,0.19922480836905815,0.12804926974154765,60,Q1_low
06e0e7787e5f,0.7279923691352537,0.6871048279446976,0.7672116021092968,0.7009377208843194,0.2990622791156806,116,116,1.0,930,0.17858898385930588,0.125,60,Q3
06fb8436d211,0.7188979594960156,0.6724060406389335,0.7569101133422786,0.7510975368750905,0.2489024631249095,116,116,1.0,937,0.22031779892956674,0.1360776392555722,60,Q3
07c745fc4af3,0.5466068083820855,0.5047705286859261,0.5893612444680572,0.8570839998004806,0.14291600019951944,92,116,0.7931034482758621,513,0.1742608781487616,0.12602570154423964,48,Q1_low
07d1b7fc0cc7,0.5899289670699488,0.5407013094015932,0.6416818313231311,0.9516708062226369,0.04832919377736311,92,116,0.7931034482758621,1169,0.18020175987336182,0.12926277969986766,48,Q2
07ee3399e047,0.5783917380565807,0.5315457326784444,0.6232258675153216,0.8220822698976092,0.17791773010239076,116,116,1.0,462,0.2046605288346302,0.12926277969986766,60,Q2
081e4a1d2828,0.7603414017281673,0.7271340509607297,0.7927464895683554,0.656435915991676,0.34356408400832406,116,116,1.0,923,0.2050982959277682,0.12804926974154765,60,Q3
083916fce396,0.5597341346601485,0.5049195900605391,0.6148948202226495,0.8560341764222085,0.14396582357779153,92,116,0.7931034482758621,474,0.1834648432944762,0.12804926974154765,48,Q1_low
0852198eb5db,0.7555004610380641,0.7068796670115485,0.7967961523871008,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
0852b50a9265,0.7664948702034593,0.7252977082364214,0.8026790531185278,0.6547168237056074,0.34528317629439265,92,116,0.7931034482758621,925,0.19678602865466585,0.13075619276219785,48,Q4_high
08a8aef1efb7,0.563567375299763,0.5233666926947046,0.6069990755598861,0.838290966677726,0.16170903332227404,116,116,1.0,485,0.18497350414505778,0.125,60,Q1_low
08e41c8d8d44,0.7555004610380641,0.7095939241529751,0.7958350098823004,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
08ec41654875,0.5577241703816709,0.5101183387773526,0.6018907624576764,0.8582141750728381,0.14178582492716185,116,116,1.0,475,0.20104668469386688,0.12926277969986766,60,Q1_low
093cf715379b,0.6784895337150008,0.6272459533630198,0.7264168830617929,0.8170650738378202,0.18293492616217977,116,116,1.0,937,0.21815676455151406,0.13129515293108604,60,Q2
09f0567f5e01,0.5614789708139354,0.5210870514065868,0.6026841948722843,0.848398904898445,0.15160109510155495,116,116,1.0,475,0.18466218783946797,0.12602570154423964,60,Q1_low
0a0ca22c859d,0.7555004610380641,0.7111051348922893,0.7953572073827452,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
0a12aebfa66c,0.6800830620070312,0.6400623403800608,0.7147551595901898,0.8292093970153261,0.17079060298467386,116,116,1.0,1075,0.1968160338414891,0.12804926974154765,60,Q2
0a14643f8d90,0.7555004610380641,0.70679079323528,0.8009753468063265,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
0a6cc340abad,0.7624015579691006,0.7268250894888967,0.792691769813609,0.6497715236263285,0.3502284763736715,116,116,1.0,925,0.20499553246995936,0.12926277969986766,60,Q3
