feature_removed,mean_destabilization,median_destabilization,sd_destabilization,n_runs,valid_run_fraction,bootstrap_ci_low,bootstrap_ci_high
FSH,0.2538853665616569,0.1263977222547824,0.23325705350830325,15,1.0,0.1409757420155767,0.3584149921771352
ANTI_TG,0.16815573988822588,0.093367770205735,0.17957308981221856,15,1.0,0.09337665610501829,0.2612380643142765
ATA_TPO,0.1669755963329114,0.14061808948893934,0.1628092671013063,15,1.0,0.09281083867001011,0.24785467675782846
TESTO_TOTAL,0.15917829559997318,0.08347322668664925,0.13206706349367506,15,1.0,0.08906282440973752,0.2303851203906755
LH,0.15841658739447056,0.109363347174741,0.15689413038292496,15,1.0,0.0832075197235638,0.23290985201894976
ANDRO,0.144921655433471,0.05525020902678679,0.1525164501040392,15,1.0,0.07879736537680405,0.2277943916109808
WBC,0.06517972615502657,0.05883888755570754,0.01299117889256601,15,1.0,0.059063444615417474,0.07161454006259718
LDL,0.06435492433841294,0.05891088809838424,0.04859885590559659,15,1.0,0.04150724164230522,0.08930227092985155
NEUT,0.06317420892331264,0.059009821090022674,0.011045306972656826,15,1.0,0.058033683265640276,0.06863135538401023
TG,0.05893715853708655,0.05946938882125813,0.04434211270084038,15,1.0,0.03455130352153539,0.07981066291460488
RDW,0.0584972242449247,0.05902866175578103,0.03247690673242053,15,1.0,0.043500982618777086,0.07422111500598305
CORT_23,0.05848094548538604,0.027687065056724858,0.057143877221243596,15,1.0,0.03210470130636193,0.08940307742110035
DHEAS,0.05653877890379747,0.023658689481377615,0.05540192479440654,15,1.0,0.03225684422972414,0.08596780771944597
GLU120,0.05422062687099231,0.05273049437144789,0.03874952200618495,15,1.0,0.035663690763762294,0.07254414561719157
INS0,0.05357580936799723,0.031013013379158072,0.04332621885964262,15,1.0,0.033151537625372915,0.07674438436419814
HDL,0.05271206631510569,0.06612041792155365,0.03035487837686878,15,1.0,0.03895085219449915,0.06646911958842214
GLU0,0.048794313736479064,0.03297919118273257,0.03759889691650243,15,1.0,0.03140043729751512,0.06921410499571096
TCHOL,0.047061812360900526,0.03759347228889587,0.0327476035792325,15,1.0,0.030426651761610662,0.060743463246620014
PLT,0.04683738753557527,0.03601943048186257,0.02691061323789032,15,1.0,0.03403523498363937,0.06076400259807555
SHBG,0.04661888377126086,0.04986833600105145,0.02249854746239684,15,1.0,0.03543011944324105,0.056282759454873516
LYMPH,0.0455238394529413,0.025252286825308834,0.02968065211509181,15,1.0,0.033176070211347594,0.0617188876469929
MPV,0.04327082493971088,0.015470485690062097,0.050695157880260536,15,1.0,0.021613284127923637,0.07084011741811778
CORT_8,0.04081333657667506,0.00954022479326061,0.04846420287927882,15,1.0,0.020606846782280197,0.06108234064739183
FT4,0.040435435822175285,0.025211132837576145,0.0336452593558242,15,1.0,0.023548642685526276,0.058593380159361094
AMH,0.04042868451610028,0.017010637668508133,0.045538138889719464,15,1.0,0.020584328830822386,0.06486289897975014
TSH,0.03462372607730391,0.00954417913895722,0.037425958424939086,15,1.0,0.018360978397995633,0.053165145303294054
