feature_removed,pipeline,seed,n_common,valid_solution,min_cluster_fraction,ari_after_removal,destabilization
LH,median-zscore-pca80-gmm,0,1286,True,0.28615863141524106,0.781273305650518,0.109363347174741
LH,median-zscore-pca80-gmm,1,1286,True,0.28615863141524106,0.781273305650518,0.109363347174741
LH,median-zscore-pca80-gmm,2,1286,True,0.28615863141524106,0.781273305650518,0.109363347174741
LH,median-zscore-pca80-gmm,3,1286,True,0.28615863141524106,0.781273305650518,0.109363347174741
LH,median-zscore-pca80-gmm,4,1286,True,0.28615863141524106,0.781273305650518,0.109363347174741
LH,median-robust-pca80-gmm,0,1286,True,0.1780715396578538,0.2741052662331331,0.36294736688343343
LH,median-robust-pca80-gmm,1,1286,True,0.17651632970451012,0.2705814440047525,0.36470927799762376
LH,median-robust-pca80-gmm,2,1286,True,0.17651632970451012,0.2705814440047525,0.36470927799762376
LH,median-robust-pca80-gmm,3,1286,True,0.1780715396578538,0.2741052662331331,0.36294736688343343
LH,median-robust-pca80-gmm,4,1286,True,0.1780715396578538,0.2741052662331331,0.36294736688343343
LH,median-zscore-none-kmeans,0,1286,True,0.29704510108864696,0.9904314727033253,0.004784263648337339
LH,median-zscore-none-kmeans,1,1286,True,0.29704510108864696,0.9936146630136753,0.003192668493162354
LH,median-zscore-none-kmeans,2,1286,True,0.2978227060653188,0.9968055137436942,0.0015972431281529031
LH,median-zscore-none-kmeans,3,1286,True,0.2978227060653188,0.9968055137436942,0.0015972431281529031
LH,median-zscore-none-kmeans,4,1286,True,0.2978227060653188,1.0,0.0
FSH,median-zscore-pca80-gmm,0,1286,True,0.07465007776049767,-0.050751606094134094,0.525375803047067
FSH,median-zscore-pca80-gmm,1,1286,True,0.07465007776049767,-0.050751606094134094,0.525375803047067
FSH,median-zscore-pca80-gmm,2,1286,True,0.07465007776049767,-0.050751606094134094,0.525375803047067
FSH,median-zscore-pca80-gmm,3,1286,True,0.07465007776049767,-0.050751606094134094,0.525375803047067
FSH,median-zscore-pca80-gmm,4,1286,True,0.07465007776049767,-0.050751606094134094,0.525375803047067
FSH,median-robust-pca80-gmm,0,1286,True,0.416796267496112,0.7472045554904352,0.1263977222547824
FSH,median-robust-pca80-gmm,1,1286,True,0.14074650077760498,0.224870164364961,0.3875649178175195
FSH,median-robust-pca80-gmm,2,1286,True,0.14074650077760498,0.224870164364961,0.3875649178175195
