feature_removed,n_runs,mean_destabilization,median_destabilization,bootstrap_ci_low,bootstrap_ci_high
FSH,15,0.2538853665616569,0.1263977222547824,0.1409757420155767,0.3584149921771352
ANTI_TG,15,0.16815573988822588,0.093367770205735,0.09337665610501829,0.2612380643142765
ATA_TPO,15,0.1669755963329114,0.14061808948893934,0.09281083867001011,0.24785467675782846
TESTO_TOTAL,15,0.15917829559997318,0.08347322668664925,0.08906282440973752,0.2303851203906755
LH,15,0.15841658739447056,0.109363347174741,0.0832075197235638,0.23290985201894976
ANDRO,15,0.144921655433471,0.05525020902678679,0.07879736537680405,0.2277943916109808
WBC,15,0.06517972615502657,0.05883888755570754,0.059063444615417474,0.07161454006259718
LDL,15,0.06435492433841294,0.05891088809838424,0.04150724164230522,0.08930227092985155
NEUT,15,0.06317420892331264,0.059009821090022674,0.058033683265640276,0.06863135538401023
TG,15,0.05893715853708655,0.05946938882125813,0.03455130352153539,0.07981066291460488
RDW,15,0.0584972242449247,0.05902866175578103,0.043500982618777086,0.07422111500598305
CORT_23,15,0.05848094548538604,0.027687065056724858,0.03210470130636193,0.08940307742110035
DHEAS,15,0.05653877890379747,0.023658689481377615,0.03225684422972414,0.08596780771944597
GLU120,15,0.05422062687099231,0.05273049437144789,0.035663690763762294,0.07254414561719157
INS0,15,0.05357580936799723,0.031013013379158072,0.033151537625372915,0.07674438436419814
HDL,15,0.05271206631510569,0.06612041792155365,0.03895085219449915,0.06646911958842214
GLU0,15,0.048794313736479064,0.03297919118273257,0.03140043729751512,0.06921410499571096
TCHOL,15,0.047061812360900526,0.03759347228889587,0.030426651761610662,0.060743463246620014
PLT,15,0.04683738753557527,0.03601943048186257,0.03403523498363937,0.06076400259807555
SHBG,15,0.04661888377126086,0.04986833600105145,0.03543011944324105,0.056282759454873516
LYMPH,15,0.0455238394529413,0.025252286825308834,0.033176070211347594,0.0617188876469929
MPV,15,0.04327082493971088,0.015470485690062097,0.021613284127923637,0.07084011741811778
CORT_8,15,0.04081333657667506,0.00954022479326061,0.020606846782280197,0.06108234064739183
FT4,15,0.040435435822175285,0.025211132837576145,0.023548642685526276,0.058593380159361094
AMH,15,0.04042868451610028,0.017010637668508133,0.020584328830822386,0.06486289897975014
TSH,15,0.03462372607730391,0.00954417913895722,0.018360978397995633,0.053165145303294054
